policy_id,mean_lopo_score,median_lopo_score,worst_lopo_score,std_lopo_score,mean_lopo_f1,worst_lopo_f1,mean_lopo_recall,min_valid_cluster_rate,top1,top2
mcc_rank_count_eps7_ms3_min3_mean_score_sqrt_size,0.5837040630667503,0.6248024369892873,0.36351658705519685,0.1480923386342429,0.2516709333117321,0.11343158189519377,0.49538461538461537,1.0,0,0
fixed_rank_fraction_0p06_eps5_ms3_min3_mean_score,0.5787869289114146,0.6953976270847433,0.3443392592926755,0.16553604128575555,0.28074019680872175,0.1556122448979592,0.22125356125356124,0.6666666666666666,0,0
mcc_rank_fraction_eps6_ms3_min3_mean_score,0.5699755585973661,0.639899310123998,0.3247678721481243,0.15396741314499512,0.3148994322586814,0.16790931684548707,0.2911111111111111,0.6666666666666666,0,0
mcc_rank_count_eps6_ms3_min3_mean_score_sqrt_size,0.5672084856631322,0.5271856443555551,0.3705727465403431,0.14834006269696073,0.2389207315873078,0.11943797671617824,0.44871794871794873,1.0,0,0
mcc_rank_fraction_eps5_ms3_min3_mean_score,0.5534910734417756,0.5746641391020475,0.3496689726537388,0.12932094078364148,0.29095505736533117,0.14472643896268186,0.22763532763532762,0.6666666666666666,0,0
mcc_rank_count_eps5_ms3_min3_mean_score,0.5106636080010066,0.4985905967778231,0.3151709561265052,0.160778743431402,0.23976502082549106,0.12551615445232467,0.41464387464387464,1.0,1,1
mcc_rank_chain_fraction_eps7_ms3_min3_mean_score_sqrt_size,0.509202666077526,0.477923106387546,0.1063362460652848,0.24739003783067678,0.24768657322178494,0.07407407407407407,0.3019373219373219,0.3333333333333333,0,1
mcc_rank_count_eps7_ms3_min3_mean_score,0.5019464161265728,0.6248024369892873,0.2756398729211316,0.17529852991958217,0.2321967927371198,0.09766850898926371,0.4675213675213675,1.0,0,0
mcc_rank_chain_fraction_eps6_ms3_min3_mean_score,0.4989815805216848,0.46773881353129493,0.1063362460652848,0.2295118404951914,0.24677124892005917,0.07407407407407407,0.2411965811965812,0.3333333333333333,0,0
mcc_rank_chain_fraction_eps7_ms3_min3_mean_score,0.49565621808119636,0.4271726449254843,0.1063362460652848,0.25056597871321146,0.25080548160385124,0.07407407407407407,0.3019373219373219,0.3333333333333333,1,1
mcc_rank_chain_fraction_eps6_ms3_min3_mean_score_sqrt_size,0.4865772241915177,0.46773881353129493,0.1063362460652848,0.23553784614639145,0.23664659782177722,0.07407407407407407,0.2486039886039886,0.3333333333333333,0,0
mcc_rank_count_eps6_ms3_min3_mean_score,0.4750290340934546,0.4985905967778231,0.2756398729211316,0.16635894536319837,0.23221746856103398,0.12069881201956674,0.4190883190883191,1.0,0,0
mcc_rank_chain_fraction_eps5_ms3_min3_mean_score_sqrt_size,0.457295059697295,0.451426514022306,0.09999999999999998,0.20747974910842878,0.20167913252365177,0.0,0.18837606837606838,0.0,0,0
fixed_0p4_eps7_ms3_min3_mean_score_sqrt_size,0.4529479154596075,0.5161936692973246,0.20650873819585444,0.15910550509924282,0.28028111475490336,0.17583333333333334,0.3694586894586895,0.3333333333333333,1,1
mcc_rank_chain_fraction_eps5_ms3_min3_mean_score,0.44849218840590305,0.48138154876893907,0.09999999999999998,0.19506225151416737,0.2037226259022829,0.0,0.15652421652421653,0.0,0,0
fixed_0p4_eps6_ms3_min3_mean_score_sqrt_size,0.4311093527125606,0.5098023983737726,0.20650873819585444,0.14137316587591361,0.2627564325757603,0.17583333333333334,0.3198860398860399,0.3333333333333333,0,1
fixed_0p4_eps7_ms3_min3_mean_score,0.4295854748989659,0.39938146649411677,0.20650873819585444,0.15666086281898856,0.2775332813158841,0.17583333333333334,0.3643304843304843,0.3333333333333333,0,0
fixed_0p4_eps5_ms3_min3_mean_score_sqrt_size,0.4009421970336533,0.41036140708599045,0.20650873819585444,0.1319085964111396,0.23937693683743647,0.14310904612628753,0.25418803418803415,0.3333333333333333,0,0
fixed_0p4_eps6_ms3_min3_mean_score,0.3972529120663265,0.3568633258493292,0.20650873819585444,0.13492193248947457,0.2659582227340722,0.17583333333333334,0.2913960113960114,0.3333333333333333,0,0
fixed_0p4_eps5_ms3_min3_mean_score,0.3658016274685763,0.32810529242116676,0.20650873819585444,0.13346277342220625,0.24649070600914727,0.1433823529411765,0.22558404558404557,0.3333333333333333,0,0
mcc_abs_eps7_ms3_min3_mean_score_sqrt_size,0.27941662370073406,0.34039468330394984,-0.0028621933560584907,0.24218863866304188,0.16908881742216944,0.0,0.24273504273504273,0.0,0,0
mcc_abs_eps6_ms3_min3_mean_score_sqrt_size,0.2765306040685544,0.3423808743301329,-0.019278482543139866,0.24617824720316217,0.16657514367958004,0.0,0.2205128205128205,0.0,0,0
mcc_abs_eps5_ms3_min3_mean_score_sqrt_size,0.2629855107742753,0.31655228881830316,-0.019278482543139866,0.2349174845278172,0.15194092003751808,0.0,0.1747008547008547,0.0,0,0
mcc_abs_eps6_ms3_min3_mean_score,0.2136221716286081,0.2556763706132712,0.0,0.17821722097498768,0.15702522096072294,0.0,0.1735042735042735,0.0,0,0
mcc_abs_eps7_ms3_min3_mean_score,0.2083602988589855,0.25470363390800016,-0.0028621933560584907,0.18380185321511772,0.1528157839719794,0.0,0.21794871794871795,0.0,0,0
mcc_abs_eps5_ms3_min3_mean_score,0.17259256435111997,0.1468374503706322,0.0,0.16231642855641437,0.13178692468882458,0.0,0.11316239316239315,0.0,0,0
