holdout,policy_id,robust_score,mean_f1,mean_recall,mean_precision,valid_cluster_rate,mean_seed_jaccard
1GQY,mcc_rank_chain_fraction_eps7_ms3_min3_mean_score_sqrt_size,0.477923106387546,0.16867989646246762,0.1282051282051282,0.24771524771524772,1.0,0.5881481481481481
1GQY,fixed_rank_fraction_0p06_eps5_ms3_min3_mean_score,0.3443392592926755,0.1556122448979592,0.10256410256410256,0.34248366013071896,1.0,0.14035087719298245
1GQY,fixed_rank_fraction_0p06_eps5_ms3_min3_mean_score_sqrt_size,0.41916715151673817,0.16225475697525388,0.11965811965811965,0.2869281045751634,1.0,0.39572722127900395
1GQY,fixed_rank_fraction_0p06_eps6_ms3_min3_mean_score,0.4030395057678323,0.17288830332308594,0.1282051282051282,0.3950617283950617,1.0,0.2795698924731183
1GQY,fixed_rank_fraction_0p06_eps6_ms3_min3_mean_score_sqrt_size,0.493243619122267,0.16438799974081514,0.13675213675213674,0.20819304152637486,1.0,0.6826001955034213
1GQY,fixed_rank_fraction_0p06_eps7_ms3_min3_mean_score,0.4030395057678323,0.17288830332308594,0.1282051282051282,0.3950617283950617,1.0,0.2795698924731183
1GQY,fixed_rank_fraction_0p06_eps7_ms3_min3_mean_score_sqrt_size,0.493243619122267,0.16438799974081514,0.13675213675213674,0.20819304152637486,1.0,0.6826001955034213
2HNX,fixed_0p4_eps5_ms3_min3_mean_score,0.4994471497229858,0.34405834405834407,0.4074074074074074,0.37063492063492065,1.0,0.10714285714285715
2HNX,fixed_0p4_eps5_ms3_min3_mean_score_sqrt_size,0.5406742253623403,0.30376530376530375,0.4444444444444444,0.24906629318394025,1.0,0.48599439775910364
2HNX,fixed_0p4_eps6_ms3_min3_mean_score,0.4994471497229858,0.34405834405834407,0.4074074074074074,0.37063492063492065,1.0,0.10714285714285715
2HNX,fixed_0p4_eps6_ms3_min3_mean_score_sqrt_size,0.5157902804297129,0.2937937937937938,0.4814814814814815,0.23236331569664903,1.0,0.44047619047619047
2HNX,fixed_0p4_eps7_ms3_min3_mean_score,0.6185918232413952,0.3681765389082462,0.7037037037037037,0.27525252525252525,1.0,0.4215011961722488
