#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)","Time Remaining"
54.8%,6850000,13700.000001873557,-2683897.0088917017,299.8358146972264,1.0122162307210334,182,1:29:30
55.0%,6875000,13750.000001883744,-2687083.727632303,299.7952394244454,1.0127537667430344,182,1:29:06
55.2%,6900000,13800.00000189393,-2685684.7123247646,299.1836031491366,1.0124843157765018,182,1:28:42
55.4%,6925000,13850.000001904116,-2684573.200303428,299.8407693750705,1.0136023080882766,182,1:28:18
55.6%,6950000,13900.000001914303,-2681725.9344561975,300.2169540216232,1.012649333145787,182,1:27:55
55.8%,6975000,13950.000001924489,-2681379.5756037273,298.745447447091,1.0120602247523616,182,1:27:31
56.0%,7000000,14000.000001934675,-2684281.8133942783,299.06471510899945,1.0124478890003454,182,1:27:07
56.2%,7025000,14050.000001944862,-2684129.4000674374,301.08775367312,1.0128285929618568,182,1:26:44
56.4%,7050000,14100.000001955048,-2682135.1356257107,300.2644507330255,1.0129120215239207,182,1:26:20
56.6%,7075000,14150.000001965234,-2685891.8750424385,299.983830779427,1.0148649685206315,182,1:25:56
56.8%,7100000,14200.00000197542,-2684931.1342225745,299.50411428254904,1.0109802377935388,182,1:25:32
57.0%,7125000,14250.000001985607,-2685722.4646902643,300.28529281016455,1.0119386273551763,182,1:25:08
57.2%,7150000,14300.000001995793,-2683122.510403225,300.43107730437936,1.0115161947326892,182,1:24:44
57.4%,7175000,14350.00000200598,-2686264.1318694577,300.1663385632557,1.0121792983680753,182,1:24:20
57.6%,7200000,14400.000002016166,-2684906.8958784044,300.2066245036897,1.0120446829914231,182,1:23:57
57.8%,7225000,14450.000002026352,-2682768.0527868867,300.17375210104683,1.0127801266693406,182,1:23:33
58.0%,7250000,14500.000002036539,-2687214.706328258,299.93157081309397,1.0105778802979173,182,1:23:09
58.2%,7275000,14550.000002046725,-2683527.4800211824,301.19437990437797,1.0116427395208423,182,1:22:45
58.4%,7300000,14600.000002056911,-2682963.5656859297,299.6531395207199,1.0114717794830355,182,1:22:21
58.6%,7325000,14650.000002067098,-2685539.3319303207,300.31137015736704,1.0130473838114746,182,1:21:57
58.8%,7350000,14700.000002077284,-2685225.069010824,301.0954343898088,1.0123234707296964,182,1:21:34
59.0%,7375000,14750.00000208747,-2684730.613236159,300.1392401841055,1.012621049124124,182,1:21:10
59.2%,7400000,14800.000002097657,-2685038.308589602,300.5495208909937,1.012769735234969,182,1:20:46
59.4%,7425000,14850.000002107843,-2687937.0395499915,300.7088797058725,1.012776992462767,182,1:20:22
59.6%,7450000,14900.00000211803,-2685254.704080958,299.8777520937517,1.0133462295833198,182,1:19:58
59.8%,7475000,14950.000002128216,-2683753.759429738,300.2211528339795,1.0142521204571886,182,1:19:35
60.0%,7500000,15000.000002138402,-2682120.062107986,299.7189590758356,1.0108296713431213,182,1:19:11
60.2%,7525000,15050.000002148588,-2684359.323951753,300.2304953457651,1.0123216956561383,182,1:18:47
60.4%,7550000,15100.000002158775,-2683132.225165641,301.2644870589046,1.0111858666708424,182,1:18:23
60.6%,7575000,15150.000002168961,-2684823.679391183,300.9009670008317,1.013099706919017,182,1:17:59
60.8%,7600000,15200.000002179147,-2683441.5513195414,301.5886977004423,1.0139297647817822,182,1:17:36
61.0%,7625000,15250.000002189334,-2685165.134324599,299.90148413686177,1.0130069217762285,182,1:17:12
61.2%,7650000,15300.00000219952,-2682691.0277194623,299.14608744418047,1.0135408111698019,182,1:16:48
61.4%,7675000,15350.000002209707,-2685125.269636376,301.0584189225129,1.0143380514991724,182,1:16:24
61.6%,7700000,15400.000002219893,-2681952.3997307196,300.21545513945443,1.0136028285974896,182,1:16:00
61.8%,7725000,15450.00000223008,-2685514.9728215504,300.3929190918736,1.0121231871124348,182,1:15:37
62.0%,7750000,15500.000002240266,-2679939.0864655953,299.55122676284435,1.0107565682052642,182,1:15:13
62.2%,7775000,15550.000002250452,-2683377.523078205,300.3947483912089,1.012185366627148,182,1:14:49
62.4%,7800000,15600.000002260638,-2685026.4536604844,300.14548119069576,1.0113451843177568,182,1:14:25
62.6%,7825000,15650.000002270825,-2682913.623030126,301.7304029534904,1.0124560440983366,182,1:14:01
62.8%,7850000,15700.00000228101,-2683339.61679562,299.84240104721556,1.013335145310988,182,1:13:38
63.0%,7875000,15750.000002291197,-2688093.2497974206,299.3872184332311,1.0145901869158136,182,1:13:14
63.2%,7900000,15800.000002301384,-2686421.6507797893,299.9259723248411,1.012410506780849,182,1:12:50
63.4%,7925000,15850.00000231157,-2682803.4170453697,300.0034885510341,1.011783610333332,182,1:12:27
63.6%,7950000,15900.000002321756,-2682373.6183403283,301.3283051468079,1.012699857908899,182,1:12:03
63.8%,7975000,15950.000002331943,-2686746.433753483,299.02860960351325,1.0129651916164548,182,1:11:39
64.0%,8000000,16000.000002342129,-2685706.3904470783,300.7450834111202,1.0142695349060902,182,1:11:15
64.2%,8025000,16050.000002352315,-2685984.854177229,300.778931282676,1.011498330990314,182,1:10:51
64.4%,8050000,16100.000002362502,-2686250.257644471,300.13589132530444,1.0118055301493396,182,1:10:28
64.6%,8075000,16150.000002372688,-2683672.5642980076,300.49678649946014,1.0128292086506876,182,1:10:04
64.8%,8100000,16200.000002382874,-2681641.9093143456,299.52127128380664,1.0110248943624267,182,1:09:40
65.0%,8125000,16250.00000239306,-2680876.619533865,298.79448275943923,1.0125514137493554,182,1:09:16
65.2%,8150000,16300.000002403247,-2683675.4166637473,300.9203314520492,1.0126171281188499,182,1:08:52
65.4%,8175000,16350.000002413433,-2683965.5139403753,299.6018197570859,1.012869167113412,182,1:08:28
65.6%,8200000,16400.000002423618,-2683089.1409576274,299.870735117057,1.0122488257749955,182,1:08:05
65.8%,8225000,16450.000002433804,-2685416.63565897,299.23940339887633,1.010733025184588,182,1:07:41
66.0%,8250000,16500.00000244399,-2685906.108521601,300.74580368354884,1.0124248932928743,182,1:07:17
66.2%,8275000,16550.000002454177,-2683264.9816814084,299.2587527121376,1.013282487665082,182,1:06:53
66.4%,8300000,16600.000002464363,-2684751.345870262,299.6157911433625,1.0128446960734794,182,1:06:30
66.6%,8325000,16650.00000247455,-2685744.8393973727,300.17745981751426,1.0115499109338797,182,1:06:06
66.8%,8350000,16700.000002484736,-2681135.6499688234,300.4928412919196,1.012999725008611,182,1:05:42
67.0%,8375000,16750.000002494922,-2681420.7388844043,300.40720217543185,1.0130196618013856,182,1:05:18
67.2%,8400000,16800.00000250511,-2686954.447997866,300.43516762535114,1.0128600133608272,182,1:04:55
67.4%,8425000,16850.000002515295,-2684637.4685234353,300.69877488523474,1.0129992092561746,182,1:04:31
67.6%,8450000,16900.00000252548,-2684065.3113605753,300.0455230352804,1.0120902235927296,182,1:04:07
67.8%,8475000,16950.000002535668,-2684982.3451392315,299.74648964270455,1.0121440834518072,182,1:03:44
68.0%,8500000,17000.000002545854,-2685497.8721972946,300.3455637070198,1.0123643975952803,182,1:03:20
68.2%,8525000,17050.00000255604,-2686149.5849237423,300.44783270654335,1.014737835927265,182,1:02:56
68.4%,8550000,17100.000002566227,-2683191.8552937023,300.35921616854944,1.0132947653547648,182,1:02:32
68.6%,8575000,17150.000002576413,-2684166.8023596946,300.71996607955595,1.0123298857469223,182,1:02:08
68.8%,8600000,17200.0000025866,-2684534.8482693676,298.9418370831974,1.012208465741301,182,1:01:45
69.0%,8625000,17250.000002596786,-2684593.098722674,300.02678809375317,1.0136108871761578,182,1:01:21
69.2%,8650000,17300.000002606972,-2682844.062197786,300.5015100066574,1.0126743463782124,182,1:00:57
69.4%,8675000,17350.00000261716,-2686055.356291434,299.4725902357463,1.012130945759487,182,1:00:33
69.6%,8700000,17400.000002627345,-2682833.9369347356,300.4344082724333,1.0118480250751192,182,1:00:10
69.8%,8725000,17450.00000263753,-2685670.067764895,300.490242019877,1.0105417639393979,182,59:46
70.0%,8750000,17500.000002647717,-2687026.146746693,300.46554148333723,1.0140112010590987,182,59:22
70.2%,8775000,17550.000002657904,-2682970.6337621026,300.7829422998534,1.011784376070575,182,58:58
70.4%,8800000,17600.00000266809,-2683691.9418690167,300.7374973660424,1.0101651446217086,182,58:35
70.6%,8825000,17650.000002678276,-2684078.4786354788,300.6022719573646,1.0131816578824937,182,58:11
70.8%,8850000,17700.000002688463,-2683358.6036498677,300.3321053684776,1.011236295541268,182,57:47
71.0%,8875000,17750.00000269865,-2683240.1464424916,301.73287567227226,1.0121097706216962,182,57:23
71.2%,8900000,17800.000002708835,-2685985.514220355,300.5151754805396,1.013045661131675,182,57:00
71.4%,8925000,17850.00000271902,-2682645.4232345,299.9674901715044,1.010389283156524,182,56:36
71.6%,8950000,17900.000002729208,-2682996.80967097,300.87402781054067,1.0117801084254368,182,56:12
71.8%,8975000,17950.000002739394,-2681497.328168707,299.9819965199099,1.0121964309225602,182,55:48
72.0%,9000000,18000.00000274958,-2683397.6233590897,300.3283201336786,1.011996094947596,182,55:25
72.2%,9025000,18050.000002759767,-2684597.4183242843,301.49191555532366,1.0127821919454045,182,55:01
72.4%,9050000,18100.000002769953,-2681617.1166451704,299.9070063131467,1.0115648549000904,182,54:37
72.6%,9075000,18150.00000278014,-2684981.6855051015,298.98001497242694,1.0130733141930444,182,54:14
72.8%,9100000,18200.000002790326,-2686669.063844446,301.09224377653095,1.0153168351683863,182,53:50
73.0%,9125000,18250.000002800512,-2685855.1781112943,300.32917533673725,1.0135077894719542,182,53:26
73.2%,9150000,18300.0000028107,-2686246.710634038,301.11147328679783,1.012550653060783,182,53:02
73.4%,9175000,18350.000002820885,-2684556.085633572,300.4622760008198,1.0135306366304337,182,52:39
73.6%,9200000,18400.00000283107,-2681724.9923813865,300.0197490753875,1.0113233197891494,182,52:15
73.8%,9225000,18450.000002841258,-2680726.26013314,300.353279854601,1.011918810419143,182,51:51
74.0%,9250000,18500.000002851444,-2684065.7027088273,299.87514458391456,1.0129673303124096,182,51:28
74.2%,9275000,18550.00000286163,-2685400.2365153823,300.6029361659243,1.0126120207203475,182,51:04
74.4%,9300000,18600.000002871817,-2684272.651965672,300.02175241406445,1.0118139214778785,182,50:40
74.6%,9325000,18650.000002882003,-2686019.6466149185,300.96599492512803,1.0100192841298672,182,50:16
74.8%,9350000,18700.00000289219,-2683628.244508384,300.00719027486633,1.0135100454010482,182,49:53
75.0%,9375000,18750.000002902376,-2683945.1937061995,298.47464444038354,1.0122137040393822,182,49:29
75.2%,9400000,18800.000002912562,-2683689.0638163593,301.04239352696186,1.0119125122644534,182,49:05
75.4%,9425000,18850.00000292275,-2684915.153808126,299.8755406066761,1.0117840358137922,182,48:41
75.6%,9450000,18900.000002932935,-2687769.46422744,299.7989058418538,1.0147295334261714,182,48:18
75.8%,9475000,18950.00000294312,-2684261.577687649,300.312877610406,1.0112544333430409,182,47:54
76.0%,9500000,19000.000002953308,-2683061.6865894403,299.3154024040287,1.0138344801198442,182,47:30
76.2%,9525000,19050.000002963494,-2685284.9010628015,300.2593157784911,1.014294118009037,182,47:06
76.4%,9550000,19100.00000297368,-2683832.475947406,299.1633833563902,1.0116413810780058,182,46:43
76.6%,9575000,19150.000002983867,-2685560.4382404797,299.6495212414376,1.0129586167914058,182,46:19
76.8%,9600000,19200.000002994053,-2685388.9116034172,298.96900288182906,1.0122725103684094,182,45:55
77.0%,9625000,19250.00000300424,-2683074.3174114525,300.0057929218407,1.0117874923222818,182,45:31
77.2%,9650000,19300.000003014426,-2685251.954518469,300.2087855006183,1.0118089015474836,182,45:08
77.4%,9675000,19350.000003024612,-2683918.105479192,299.54589182713596,1.0114000784948978,182,44:44
77.6%,9700000,19400.0000030348,-2682398.1279701497,300.74615021266465,1.0125744072207383,182,44:20
77.8%,9725000,19450.000003044985,-2682808.513096107,298.26086520303807,1.012931420338619,182,43:56
78.0%,9750000,19500.00000305517,-2682256.854096718,300.22964064211516,1.0139763934774633,182,43:33
78.2%,9775000,19550.000003065357,-2684340.86306216,300.9577643570523,1.0118774704866462,182,43:09
78.4%,9800000,19600.000003075544,-2683505.260309657,300.8452296938975,1.0127447618516041,182,42:45
78.6%,9825000,19650.00000308573,-2685963.2757162414,300.93281465854847,1.0129060797403036,182,42:21
78.8%,9850000,19700.000003095916,-2685012.4336629007,300.6491493741694,1.0147961704893833,182,41:57
79.0%,9875000,19750.000003106103,-2684702.6712062713,301.1146815592962,1.0118212888682885,182,41:34
79.2%,9900000,19800.00000311629,-2684608.471839726,300.70252981377024,1.008823706805156,182,41:10
79.4%,9925000,19850.000003126475,-2681476.1911623683,300.42230999035553,1.0100722872087171,182,40:46
79.6%,9950000,19900.00000313666,-2684760.625977844,301.20511391421246,1.0124825010856924,182,40:22
79.8%,9975000,19950.000003146848,-2686329.6516337097,300.7027154783797,1.0134440491953294,182,39:59
80.0%,10000000,20000.000003157034,-2683432.76320857,300.3383435804722,1.0114299906465005,182,39:35
80.2%,10025000,20050.00000316722,-2683505.4060809594,299.44947766785396,1.0105238869783777,182,39:11
80.4%,10050000,20100.000003177407,-2685312.29598839,300.4081170829829,1.0141199588030434,182,38:47
80.6%,10075000,20150.000003187593,-2684172.0433961563,299.86212682814573,1.0122295134545525,182,38:24
80.8%,10100000,20200.00000319778,-2684686.0227216408,300.20803363707836,1.0141218841141912,182,38:00
81.0%,10125000,20250.000003207966,-2687679.7276414484,298.9169614056036,1.012002818342571,182,37:36
81.2%,10150000,20300.000003218152,-2682431.106412081,299.3881024418017,1.0118634674702225,182,37:13
81.4%,10175000,20350.00000322834,-2683775.388884252,300.8989289888568,1.0108365179023349,182,36:49
81.6%,10200000,20400.000003238525,-2686598.5355877597,300.82510550639864,1.0125336573649157,182,36:25
81.8%,10225000,20450.00000324871,-2681360.0306384657,299.74191340414694,1.0125270191899605,182,36:01
82.0%,10250000,20500.000003258898,-2684685.774412548,300.11499670448603,1.0134412872058252,182,35:38
82.2%,10275000,20550.000003269084,-2686304.6900949106,300.1409683591442,1.0126696184705737,182,35:14
82.4%,10300000,20600.00000327927,-2687489.0905614533,299.19912659676527,1.0134437170337876,182,34:50
82.6%,10325000,20650.000003289457,-2688092.9383663125,300.2809682040552,1.0145521999029055,182,34:26
82.8%,10350000,20700.000003299643,-2682053.0753658116,299.87752357930503,1.0108899471131652,182,34:03
83.0%,10375000,20750.00000330983,-2686197.335701719,301.2303059790038,1.0125947845176955,182,33:39
83.2%,10400000,20800.000003320016,-2685906.600709334,299.6400794277609,1.013331499680018,182,33:15
83.4%,10425000,20850.000003330202,-2684015.716026239,299.6764153142516,1.0129154859996723,182,32:51
83.6%,10450000,20900.00000334039,-2685217.4875453655,299.8632647113133,1.0128837763444754,182,32:28
83.8%,10475000,20950.000003350575,-2682102.6079884246,299.9219633605469,1.0139289882708757,182,32:04
84.0%,10500000,21000.00000336076,-2684456.229374746,300.14637669151534,1.0104743414302113,182,31:40
84.2%,10525000,21050.000003370948,-2684229.587328378,299.9689939768405,1.0105708524935442,182,31:16
84.4%,10550000,21100.000003381134,-2684027.906561859,300.3027512513605,1.0117817999249554,182,30:53
84.6%,10575000,21150.00000339132,-2685716.998044789,299.88298630676974,1.013470904547802,182,30:29
84.8%,10600000,21200.000003401507,-2684815.8851655833,300.97424724030117,1.0126748222467934,182,30:05
85.0%,10625000,21250.000003411693,-2683742.9983117077,299.5158574126192,1.0125416295108698,182,29:41
85.2%,10650000,21300.00000342188,-2684577.3770524915,301.69300352370004,1.0128342656281903,182,29:18
85.4%,10675000,21350.000003432066,-2683341.7147943154,300.07270557115345,1.0133465112598357,182,28:54
85.6%,10700000,21400.000003442252,-2686290.09680409,300.44206588406803,1.012727792215258,182,28:30
85.8%,10725000,21450.00000345244,-2683731.9582467824,300.9207416119808,1.0116999590811984,182,28:06
86.0%,10750000,21500.000003462625,-2686221.6871426776,300.399011970848,1.0138307680443595,182,27:43
86.2%,10775000,21550.00000347281,-2686016.870788008,300.3762776908552,1.0131624037757874,182,27:19
86.4%,10800000,21600.000003482997,-2685681.623018807,299.5945184058847,1.0146155349737178,182,26:55
86.6%,10825000,21650.000003493184,-2684469.8813625947,300.4404893146493,1.0142495961528557,182,26:31
86.8%,10850000,21700.00000350337,-2685099.7385213114,300.1293536802302,1.0129421847931102,182,26:07
87.0%,10875000,21750.000003513556,-2684659.6628080606,300.3876639722077,1.0133124796181014,182,25:44
87.2%,10900000,21800.000003523743,-2683703.590246601,300.7400919197613,1.01241444330462,182,25:20
87.4%,10925000,21850.00000353393,-2684455.6098833624,301.5314577500004,1.009780060806001,182,24:56
87.6%,10950000,21900.000003544115,-2684555.246896468,298.91396841170405,1.0111005855332136,182,24:32
87.8%,10975000,21950.0000035543,-2681811.5327066015,299.96923750857087,1.012464235414469,182,24:09
88.0%,11000000,22000.000003564488,-2682725.6230517235,299.340581205018,1.0120110015800294,182,23:45
88.2%,11025000,22050.000003574674,-2684431.9792664926,300.33411512310454,1.013204317323807,182,23:21
88.4%,11050000,22100.00000358486,-2686230.408347659,299.7868210830763,1.011483345437301,182,22:57
88.6%,11075000,22150.000003595047,-2685169.8615111765,300.07646433142725,1.01296983039281,182,22:34
88.8%,11100000,22200.000003605233,-2684568.2252660673,299.7109947980653,1.0111367408480572,182,22:10
89.0%,11125000,22250.00000361542,-2682772.1908358447,301.5548826494228,1.0112352897831145,182,21:46
89.2%,11150000,22300.000003625606,-2687623.0272990763,299.63727652528445,1.0134588549431103,182,21:22
89.4%,11175000,22350.000003635792,-2683574.9021279197,299.65250011092917,1.0131906972965192,182,20:59
89.6%,11200000,22400.00000364598,-2686671.1604623795,300.728453999284,1.0128714940373638,182,20:35
89.8%,11225000,22450.000003656165,-2685987.606782509,300.49266380182604,1.0124730155388932,182,20:11
90.0%,11250000,22500.00000366635,-2687239.8991946615,299.50142246449417,1.011918376578539,182,19:47
90.2%,11275000,22550.000003676538,-2687313.4717472848,298.9165492631417,1.0127609408363913,182,19:24
90.4%,11300000,22600.000003686724,-2684414.25409038,299.6825282755194,1.0108727608123829,182,19:00
90.6%,11325000,22650.00000369691,-2686672.5675986744,300.58568964580763,1.0145502892984062,182,18:36
90.8%,11350000,22700.000003707097,-2685340.4880152047,300.2634579053308,1.013620172917654,182,18:12
91.0%,11375000,22750.000003717283,-2683318.9338502437,299.5680579563442,1.0129877362330708,182,17:49
91.2%,11400000,22800.00000372747,-2683374.0602544285,299.6036608869341,1.0106199742289648,182,17:25
91.4%,11425000,22850.000003737656,-2681676.320520075,300.1212085051378,1.0124501331842601,182,17:01
91.6%,11450000,22900.000003747842,-2679429.863767227,301.5562595070266,1.0120255870703332,182,16:38
91.8%,11475000,22950.00000375803,-2683243.0614703633,300.419937837552,1.011730157459659,182,16:14
92.0%,11500000,23000.000003768215,-2683771.2021245863,300.97871039022084,1.012198338883594,182,15:50
92.2%,11525000,23050.0000037784,-2686387.255301241,300.9083646394997,1.0125572763626272,182,15:26
92.4%,11550000,23100.000003788587,-2686245.329503471,299.7391661365427,1.0122448165223044,182,15:02
92.6%,11575000,23150.000003798774,-2687197.5045548286,302.0027009497864,1.0130642370505347,182,14:39
92.8%,11600000,23200.00000380896,-2686864.7032271326,300.3674063683468,1.0137876540583062,182,14:15
93.0%,11625000,23250.000003819147,-2680764.3288356606,300.761898188631,1.0121351528763471,182,13:51
93.2%,11650000,23300.000003829333,-2684109.3445852883,300.197126953755,1.0128545532888753,182,13:27
93.4%,11675000,23350.00000383952,-2683150.6323272437,300.6123823453221,1.012162267670076,182,13:04
93.6%,11700000,23400.000003849706,-2685485.5815057717,301.1250492553682,1.0109794698345265,182,12:40
93.8%,11725000,23450.000003859892,-2684146.0862553455,300.5929529481697,1.0132444583386992,182,12:16
94.0%,11750000,23500.00000387008,-2682057.054383995,299.9913436905194,1.0096436787361527,182,11:52
94.2%,11775000,23550.000003880265,-2684799.78126836,300.0451318694576,1.0136574251504396,182,11:29
94.4%,11800000,23600.00000389045,-2686002.917291483,300.81720512110377,1.0133861490586944,182,11:05
94.6%,11825000,23650.000003900637,-2683634.9375906736,301.20163651776386,1.0126052400004244,182,10:41
94.8%,11850000,23700.000003910824,-2685989.8026084024,300.7711667980736,1.012352160894818,182,10:17
95.0%,11875000,23750.00000392101,-2685634.253458414,299.6445530905937,1.012729131300344,182,9:53
95.2%,11900000,23800.000003931196,-2687952.527312411,300.4464000547657,1.0150946288479903,182,9:30
95.4%,11925000,23850.000003941383,-2683826.3269900028,300.5032159335225,1.0118359365151965,182,9:06
95.6%,11950000,23900.00000395157,-2684040.031884821,301.0579059150415,1.0134934528798882,182,8:42
95.8%,11975000,23950.000003961755,-2684233.420395311,299.94867830653783,1.010920589519369,182,8:18
96.0%,12000000,24000.00000397194,-2683340.9917708673,299.3663143857241,1.0121997701058028,182,7:55
96.2%,12025000,24050.000003982128,-2682150.337395234,299.9584517052634,1.0110333834564433,182,7:31
96.4%,12050000,24100.000003992314,-2682722.1568502765,300.14988968785417,1.0133978229965945,182,7:07
96.6%,12075000,24150.0000040025,-2683892.638996575,299.7374804700887,1.0135826554952843,182,6:43
96.8%,12100000,24200.000004012687,-2684503.5173973516,300.44769224580637,1.0098493207812935,182,6:20
97.0%,12125000,24250.000004022873,-2684947.3216632344,299.74727118667687,1.0119258913307045,182,5:56
97.2%,12150000,24300.00000403306,-2684353.8140872475,300.02390927340514,1.0131407963583983,182,5:32
97.4%,12175000,24350.000004043246,-2682151.904766284,300.696807174468,1.0136095083325065,182,5:08
97.6%,12200000,24400.000004053432,-2682682.21620059,300.32131562601074,1.0122803770160818,182,4:45
97.8%,12225000,24450.00000406362,-2683424.0223126393,299.95119387327,1.0107264324155734,182,4:21
98.0%,12250000,24500.000004073805,-2687295.460914798,301.33589735550237,1.0127442326601155,182,3:57
98.2%,12275000,24550.00000408399,-2683428.673549287,300.60862531096717,1.0101754430714625,182,3:33
98.4%,12300000,24600.000004094178,-2685449.249195019,300.748598307291,1.0121389479430212,182,3:10
98.6%,12325000,24650.000004104364,-2685850.757750444,300.74571101216594,1.0130535912372158,182,2:46
98.8%,12350000,24700.00000411455,-2685461.510340035,301.73362138866116,1.0119852870059822,182,2:22
99.0%,12375000,24750.000004124737,-2684465.3203854114,299.9170159045426,1.0127554429683898,182,1:58
99.2%,12400000,24800.000004134923,-2683717.0954716895,299.4924083241494,1.0117071303345004,182,1:35
99.4%,12425000,24850.00000414511,-2684921.0557744075,299.3273730415857,1.0117753116123094,182,1:11
99.6%,12450000,24900.000004155296,-2682653.8462994266,299.99448740744276,1.0131017514335754,182,0:47
99.8%,12475000,24950.000004165482,-2683223.7755803894,300.17872707500857,1.012676873337677,182,0:23
100.0%,12500000,25000.00000417567,-2684272.248505015,300.3738916332686,1.0145918370335396,182,0:00
100.2%,12525000,25050.000004185855,-2682078.123823805,300.585914904382,1.0104482952224498,182,23:59:37
100.4%,12550000,25100.00000419604,-2684215.881098347,300.42276045027603,1.0113899316679946,182,23:59:13
100.6%,12575000,25150.000004206227,-2683342.51128806,300.87758870088015,1.0130615595043904,182,23:58:49
100.8%,12600000,25200.000004216414,-2687599.7068178672,300.59963595945385,1.0153972269439258,182,23:58:25
101.0%,12625000,25250.0000042266,-2686461.0751236025,300.1830819971396,1.0121055941930956,182,23:58:02
101.2%,12650000,25300.000004236786,-2684198.0577902347,300.2068539914251,1.013822783922049,182,23:57:38
101.4%,12675000,25350.000004246973,-2684299.927391095,299.37304760660646,1.0127894198661513,182,23:57:14
