#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)","Time Remaining"
28.6%,3575000,7150.000000539148,-2681208.675433254,299.7370351047243,1.012040164681944,182,2:21:19
28.8%,3600000,7200.000000549334,-2686063.4419284947,300.5078970875333,1.0132096121503285,182,2:20:55
29.0%,3625000,7250.00000055952,-2683363.119543059,300.51945151673937,1.0151056930213962,182,2:20:31
29.2%,3650000,7300.000000569707,-2682422.747667799,300.29990750295815,1.0122250763428844,182,2:20:09
29.4%,3675000,7350.000000579893,-2686488.0869192947,300.584286315749,1.0118155749569988,182,2:19:45
29.6%,3700000,7400.000000590079,-2682504.596550243,300.021423238307,1.011716240581239,182,2:19:21
29.8%,3725000,7450.000000600266,-2681879.903852582,301.5178125060957,1.010784903513563,182,2:18:57
30.0%,3750000,7500.000000610452,-2681859.8173985723,300.5264565152269,1.0119538648317727,182,2:18:34
30.2%,3775000,7550.000000620638,-2683956.260470489,299.99765377261593,1.0140380944940757,182,2:18:09
30.4%,3800000,7600.000000630825,-2681121.281803157,298.673587731168,1.0105706349474466,182,2:17:45
30.6%,3825000,7650.000000641011,-2685582.8698465154,300.1026825395338,1.0108360333093944,182,2:17:22
30.8%,3850000,7700.000000651197,-2684293.901673788,299.8067313992482,1.0118998293596624,182,2:16:58
31.0%,3875000,7750.000000661384,-2683923.670012312,300.4285046426545,1.0130327977724303,182,2:16:34
31.2%,3900000,7800.00000067157,-2681603.542515734,301.4270913250839,1.012308085226884,182,2:16:11
31.4%,3925000,7850.000000681756,-2685237.397610044,300.31488802957057,1.0145044975922979,182,2:15:47
31.6%,3950000,7900.000000691943,-2685529.492916586,300.2200664369023,1.012985467443798,182,2:15:24
31.8%,3975000,7950.000000702129,-2683749.884032743,300.9956011663031,1.013672843536388,182,2:15:00
32.0%,4000000,8000.000000712315,-2685443.5576712135,299.6608712360277,1.0132155833895116,182,2:14:37
32.2%,4025000,8050.000000722502,-2681255.010611931,300.41017084292764,1.009788240950772,182,2:14:14
32.4%,4050000,8100.000000732688,-2686006.3615314234,300.3604285993776,1.0135041954711554,182,2:13:51
32.6%,4075000,8150.000000742874,-2682234.4905509986,300.3388274105427,1.0137013563157702,182,2:13:27
32.8%,4100000,8200.00000075306,-2686701.3944954276,298.72658199958363,1.0143738169956649,182,2:13:03
33.0%,4125000,8250.000000763246,-2684956.447769046,300.4287394209928,1.0125384853944734,182,2:12:40
33.2%,4150000,8300.000000773432,-2684463.2660361975,300.66045016903314,1.0126468381898035,182,2:12:16
33.4%,4175000,8350.000000783619,-2683942.167566998,300.80571407048836,1.011883344792824,182,2:11:53
33.6%,4200000,8400.000000793805,-2684853.5084395446,301.629389724221,1.012190640526268,182,2:11:29
33.8%,4225000,8450.000000803991,-2684878.081585942,301.5086702830418,1.0113631990408973,182,2:11:04
34.0%,4250000,8500.000000814178,-2683701.8180382233,301.1258134037815,1.0135007158219593,182,2:10:41
34.2%,4275000,8550.000000824364,-2682125.0551254265,300.51261440356757,1.0115046377142562,182,2:10:17
34.4%,4300000,8600.00000083455,-2683486.6775497478,300.66570026168046,1.012673926169899,182,2:09:54
34.6%,4325000,8650.000000844737,-2685016.929401092,300.41697069455466,1.0133519908454696,182,2:09:30
34.8%,4350000,8700.000000854923,-2686539.3018269856,300.0708665071419,1.0128316291663997,182,2:09:06
35.0%,4375000,8750.00000086511,-2683879.9644791298,299.4401567343375,1.0129206277101637,182,2:08:42
35.2%,4400000,8800.000000875296,-2682827.2904796954,300.8120370166679,1.0122008278549521,182,2:08:18
35.4%,4425000,8850.000000885482,-2684915.441384591,300.78505665770894,1.0120702222637266,182,2:07:53
35.6%,4450000,8900.000000895669,-2685484.3721050024,299.75799211935265,1.0116458166133675,182,2:07:29
35.8%,4475000,8950.000000905855,-2685978.976675652,299.3630186910414,1.0138603261941999,182,2:07:05
36.0%,4500000,9000.000000916041,-2685079.7208541557,299.931850453677,1.0143491212657063,182,2:06:42
36.2%,4525000,9050.000000926228,-2685605.404777305,300.3755929635622,1.0136127571366473,182,2:06:18
36.4%,4550000,9100.000000936414,-2687577.2432699185,300.87570212068005,1.0138460455294698,182,2:05:54
36.6%,4575000,9150.0000009466,-2683702.0254273918,300.98208047351824,1.0136841658455047,182,2:05:30
36.8%,4600000,9200.000000956787,-2683848.446618546,300.37311493443093,1.0113802052297554,182,2:05:06
37.0%,4625000,9250.000000966973,-2682176.236353969,300.4682713142111,1.0106090114273836,182,2:04:42
37.2%,4650000,9300.00000097716,-2683256.868804494,301.98402639022464,1.0121764372835675,182,2:04:18
37.4%,4675000,9350.000000987346,-2684659.8452009447,299.9079758031831,1.0142713934202978,182,2:03:54
37.6%,4700000,9400.000000997532,-2683861.362940548,300.5091129144405,1.0119989165777257,182,2:03:30
37.8%,4725000,9450.000001007718,-2684786.5070644375,299.90234593210874,1.0134575446747636,182,2:03:06
38.0%,4750000,9500.000001017905,-2686489.77436327,300.6632315974722,1.0127869125679099,182,2:02:42
38.2%,4775000,9550.000001028091,-2683429.2802789826,300.2479880733108,1.0128066274644545,182,2:02:18
38.4%,4800000,9600.000001038277,-2685027.676938582,301.008892442395,1.0124677789618932,182,2:01:55
