replicate,frame,rmsd_nm
replicate_01,173,4.013972282409668
replicate_01,174,4.023370265960693
replicate_01,175,4.0296783447265625
replicate_01,176,4.02877950668335
replicate_01,177,4.022975921630859
replicate_01,178,4.027670383453369
replicate_01,179,4.022252559661865
replicate_01,180,4.016917705535889
replicate_01,181,4.010174751281738
replicate_01,182,4.022848606109619
replicate_01,183,4.024014472961426
replicate_01,184,4.015760898590088
replicate_01,185,4.009586811065674
replicate_01,186,4.008480072021484
replicate_01,187,4.005973815917969
replicate_01,188,4.014669418334961
replicate_01,189,4.021172046661377
replicate_01,190,4.009850025177002
replicate_01,191,4.000282287597656
replicate_01,192,4.001613140106201
