name,official_url,download_date,license,file_path,file_size,sha256,file_type,schema_preview,contains,trust_level,intended_role,warnings,status
RCSB PDB 2IO4 metadata,https://www.rcsb.org/structure/2IO4,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\2IO4_metadata.json,25.7 KB,51b9da410fd5973ab8ab7513ad9a360dad73cd176d3ff7800e18c484bb486369,JSON (RCSB REST API),"method=X-ray, resolution=2.6Å, organism=Sulfolobus solfataricus, chains=2, nonpoly=2, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 2IO4 mmCIF,https://files.rcsb.org/download/2IO4.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\2IO4.cif,843.8 KB,3c36e22368115985e74ff36c5d7b12b19ca2c31d803eee98548786772eab120e,mmCIF,data_2IO4,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 1RXM metadata,https://www.rcsb.org/structure/1RXM,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1RXM_metadata.json,15.6 KB,4ac7c572669af7ce6c3db750309ad677cae86c1e9f3f8e9851227ee4647147ff,JSON (RCSB REST API),"method=X-ray, resolution=2.8Å, organism=Archaeoglobus fulgidus, chains=2, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 1RXM mmCIF,https://files.rcsb.org/download/1RXM.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1RXM.cif,245.6 KB,247763eab40e1882f4a335339fbc49955ad481b8364f072e83752600ff14cb0d,mmCIF,data_1RXM,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 2IJX metadata,https://www.rcsb.org/structure/2IJX,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\2IJX_metadata.json,22.5 KB,a961a6aae6c772e8cdd9a6f1e5d363e91abc111f9ad0c5afbd4cad933481c107,JSON (RCSB REST API),"method=X-ray, resolution=1.9Å, organism=Sulfolobus solfataricus, chains=1, nonpoly=1, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 2IJX mmCIF,https://files.rcsb.org/download/2IJX.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\2IJX.cif,907.2 KB,df8819dd9a833954188ac77d056593d0b8cf11098a082baccd67a6286a04ccef,mmCIF,data_2IJX,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 5H0T metadata,https://www.rcsb.org/structure/5H0T,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\5H0T_metadata.json,23.9 KB,7dbfaedae11fa4180c76519b4748c00c080565ab6e933916dfdb25c264399d96,JSON (RCSB REST API),"method=X-ray, resolution=2.73Å, organism=Leishmania donovani, chains=1, nonpoly=1, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 5H0T mmCIF,https://files.rcsb.org/download/5H0T.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\5H0T.cif,1.24 MB,aae817e46f28f88edc0c19ab7f7edbcfe3772322c69b0c4106ff1053457dc1ed,mmCIF,data_5H0T,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 5CFK metadata,https://www.rcsb.org/structure/5CFK,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\5CFK_metadata.json,18.9 KB,9c6fb394ad16fce1c380ad4baf82f05be8990274a9fdeb3c902f49710f3a9928,JSON (RCSB REST API),"method=X-ray, resolution=3.2Å, organism=Leishmania donovani, chains=1, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 5CFK mmCIF,https://files.rcsb.org/download/5CFK.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\5CFK.cif,1.22 MB,f7040771feda29e5a157e051727b3b565cefc807a33ac21bae3f623bac9390e1,mmCIF,data_5CFK,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
